id;category;question;option;answer;
1;Teknologi;Vilken uppfinnare är känd för våldsamma marknadsföringsidéer och användning av likström i sina elektriska system?;Thomas Edison:Albert Einstein:Benjamin Frankling:Jon Olsson Delér;Thomas Edison;
2;Teknologi;Vilken rymdraket är världens mest uppskjutna?;Sojuz-2:V2:Adriane 4;Sojuz-2;
3;Teknologi;Vilken typ av farkost använder en sonar för navigation?;Fartyg:Rymdrakter:Bilar:Flygplan;Fartyg;
4;Teknologi;Vilket land i världen spenderar mest pengar på militären?;USA:Ryssland:Tyskland:Kina;Ryssland;
5;Teknologi;Vad av följande ting finns vanligtvis inte på ett sjukhus?;En segelbåt:En säng:En termometer:Medicin;En segelbåt;
6;Datorer och Internet;Vad hette TikTok innan det blev TikTok?;Musical.ly:Mucicapply:Ly.musical:Mysicaly;Musical.ly;
7;Datorer och Internet;Vilken Microsoft-spelkonsol lanserades år 2005 och var uppföljare till Microsoft Xbox?;XBOX 360:XBOX Vista:XBOX 2:XBOX Wii;XBOX 360;
8;Datorer och Internet;Vilken typ av data kan du skicka i ett e-mail?;Alla laternativ:Ljud:Bilder:Video;Alla laternativ;
9;Datorer och Internet;Vad blev Ada Byron den första någonsin med att göra år 1834?;Ett datorprogram:Ett antidepressivt medel:Ett ånglok:En vaccination;Ett datorprogram;
10;Datorer och Internet;Vad gör ett antivirusprogram på en dator?;Övervakar andra program:Rengör hårddisken från damm:Låser innehållet i hårddisken:Håller internetanslutningen öppen;Övervakar andra program;
